freq_hz,psd_dBm
96468554.687500,-3.804473903498e+01
96469140.625000,-3.846819395962e+01
96469726.562500,-3.851907791001e+01
96470312.500000,-3.856612116244e+01
96470898.437500,-3.817998945365e+01
96471484.375000,-3.735700406000e+01
96472070.312500,-3.601423151522e+01
96472656.250000,-3.823703184267e+01
96473242.187500,-3.880666438811e+01
96473828.125000,-3.886051108524e+01
96474414.062500,-3.870497172893e+01
96475000.000000,-3.832542997901e+01
96475585.937500,-3.876949974600e+01
96476171.875000,-3.891828028011e+01
96476757.812500,-3.901851342892e+01
96477343.750000,-3.881932066654e+01
96477929.687500,-3.860771339830e+01
96478515.625000,-3.872764937530e+01
96479101.562500,-3.883651022330e+01
96479687.500000,-3.719008920857e+01
96480273.437500,-3.643665825903e+01
96480859.375000,-3.884633885677e+01
96481445.312500,-3.910901467879e+01
96482031.250000,-3.886797268865e+01
96482617.187500,-3.866947228358e+01
96483203.125000,-3.842818542036e+01
96483789.062500,-3.860047636140e+01
96484375.000000,-3.851866241611e+01
96484960.937500,-3.840275035997e+01
96485546.875000,-3.852394784530e+01
96486132.812500,-3.840766471184e+01
96486718.750000,-3.817571387581e+01
96487304.687500,-3.785118629169e+01
96487890.625000,-3.498297219928e+01
96488476.562500,-3.620105727240e+01
96489062.500000,-3.776263488438e+01
96489648.437500,-3.770813242705e+01
96490234.375000,-3.802157585037e+01
96490820.312500,-3.802362320528e+01
96491406.250000,-3.772879893839e+01
96491992.187500,-3.756436679122e+01
96492578.125000,-3.727844443010e+01
96493164.062500,-3.757606393133e+01
96493750.000000,-3.780124808963e+01
96494335.937500,-3.781139974314e+01
96494921.875000,-3.741364080465e+01
96495507.812500,-3.721628099275e+01
96496093.750000,-3.596346911224e+01
96496679.687500,-3.570161852473e+01
96497265.625000,-3.414123366053e+01
96497851.562500,-3.768936475945e+01
96498437.500000,-3.821002573985e+01
96499023.437500,-3.807968109267e+01
96499609.375000,-3.827208737126e+01
96500195.312500,-3.759045743132e+01
96500781.250000,-3.783079930156e+01
96501367.187500,-3.829229527546e+01
96501953.125000,-3.856335586774e+01
96502539.062500,-3.861595452330e+01
96503125.000000,-3.865456742399e+01
96503710.937500,-3.796909771719e+01
96504296.875000,-3.777278959282e+01
96504882.812500,-3.860455453277e+01
96505468.750000,-3.884620393770e+01
96506054.687500,-3.896731834312e+01
96506640.625000,-3.880994811684e+01
96507226.562500,-3.888953678818e+01
96507812.500000,-3.879886083382e+01
96508398.437500,-3.877464282707e+01
96508984.375000,-3.895466358415e+01
96509570.312500,-3.928955631624e+01
96510156.250000,-3.891040277307e+01
96510742.187500,-3.884527345616e+01
96511328.125000,-3.856489298309e+01
96511914.062500,-3.762989319055e+01
96512500.000000,-3.874566822005e+01
96513085.937500,-3.907484886294e+01
96513671.875000,-3.883998979886e+01
96514257.812500,-3.909615365605e+01
96514843.750000,-3.905648526466e+01
96515429.687500,-3.895527617215e+01
96516015.625000,-3.929747084984e+01
96516601.562500,-3.922762483781e+01
96517187.500000,-3.905915182123e+01
96517773.437500,-3.924117044072e+01
96518359.375000,-3.912005002102e+01
96518945.312500,-3.925321619978e+01
96519531.250000,-3.893294024524e+01
96520117.187500,-3.758860015125e+01
96520703.125000,-3.878644642153e+01
96521289.062500,-3.955280098224e+01
96521875.000000,-3.926743464459e+01
96522460.937500,-3.934688239571e+01
96523046.875000,-3.940229117003e+01
96523632.812500,-3.934993446141e+01
96524218.750000,-3.916817722239e+01
96524804.687500,-3.910984073816e+01
96525390.625000,-3.931202616024e+01
96525976.562500,-3.934743270617e+01
96526562.500000,-3.924446664568e+01
96527148.437500,-3.894848001678e+01
96527734.375000,-3.739846975547e+01
96528320.312500,-3.805170936124e+01
96528906.250000,-3.940688170625e+01
96529492.187500,-3.951099196577e+01
96530078.125000,-3.924481649821e+01
96530664.062500,-3.912941300304e+01
96531250.000000,-3.915537810186e+01
96531835.937500,-3.924563059619e+01
96532421.875000,-3.916722824969e+01
96533007.812500,-3.904525077284e+01
96533593.750000,-3.922123269193e+01
96534179.687500,-3.933865073794e+01
96534765.625000,-3.925325374772e+01
96535351.562500,-3.894844973701e+01
96535937.500000,-3.745419687652e+01
96536523.437500,-3.897223927507e+01
96537109.375000,-3.950213963362e+01
96537695.312500,-3.946479798159e+01
96538281.250000,-3.959248557881e+01
96538867.187500,-3.944316049220e+01
96539453.125000,-3.938243352749e+01
96540039.062500,-3.944549381238e+01
96540625.000000,-3.941720323187e+01
96541210.937500,-3.939409616113e+01
96541796.875000,-3.944788370931e+01
96542382.812500,-3.942848017853e+01
96542968.750000,-3.954006229951e+01
96543554.687500,-3.876035061439e+01
96544140.625000,-3.790381818793e+01
96544726.562500,-3.914463251550e+01
96545312.500000,-3.940050601185e+01
96545898.437500,-3.962752206948e+01
96546484.375000,-3.947844176748e+01
96547070.312500,-3.935560124307e+01
96547656.250000,-3.968992452497e+01
96548242.187500,-3.939573169503e+01
96548828.125000,-3.916047176014e+01
96549414.062500,-3.948768550597e+01
96550000.000000,-3.924637549938e+01
96550585.937500,-3.923161004203e+01
96551171.875000,-3.934517963467e+01
96551757.812500,-3.799493763084e+01
96552343.750000,-3.798827516330e+01
96552929.687500,-3.939777465561e+01
